sequenceID	source.name	genotype	length
OQ759679	ncbi-curated	ECSA	11168
OQ759680	ncbi-curated	ECSA	11172
OQ759681	ncbi-curated	ECSA	11175
OQ759682	ncbi-curated	ECSA	11126
OQ759683	ncbi-curated	ECSA	11157
OQ759684	ncbi-curated	ECSA	11130
OQ759685	ncbi-curated	ECSA	11181
OQ759686	ncbi-curated	ECSA	11171
OQ759687	ncbi-curated	ECSA	11144
OQ759688	ncbi-curated	ECSA	11156
OQ759689	ncbi-curated	ECSA	11162
OQ759690	ncbi-curated	ECSA	11198
OQ759691	ncbi-curated	ECSA	11160
OQ759692	ncbi-curated	ECSA	11113
OQ759693	ncbi-curated	ECSA	11104
OQ759694	ncbi-curated	ECSA	11114
OQ759695	ncbi-curated	ECSA	11130
OQ759696	ncbi-curated	ECSA	11140
OQ759697	ncbi-curated	ECSA	11191
OQ759698	ncbi-curated	ECSA	11127
OQ759699	ncbi-curated	ECSA	11156
OQ759700	ncbi-curated	ECSA	11168
OQ759701	ncbi-curated	ECSA	11147
OQ759702	ncbi-curated	ECSA	11077
OQ759703	ncbi-curated	ECSA	11143
OQ759704	ncbi-curated	ECSA	11180
OQ759705	ncbi-curated	ECSA	11151
OQ759706	ncbi-curated	ECSA	11099
OQ759707	ncbi-curated	ECSA	11128
OQ759708	ncbi-curated	ECSA	11106
OQ759709	ncbi-curated	ECSA	11132
OQ759710	ncbi-curated	ECSA	11141
OQ759711	ncbi-curated	ECSA	11103
OQ759712	ncbi-curated	ECSA	11157
OQ759713	ncbi-curated	ECSA	11086
OQ759714	ncbi-curated	ECSA	11206
OQ759715	ncbi-curated	ECSA	11086
OQ759716	ncbi-curated	ECSA	11128
OQ759717	ncbi-curated	ECSA	11136
OQ759718	ncbi-curated	ECSA	11125
OQ759719	ncbi-curated	ECSA	11177
OQ759720	ncbi-curated	ECSA	11173
OQ759721	ncbi-curated	ECSA	11180
OQ759722	ncbi-curated	ECSA	11140
OQ759723	ncbi-curated	ECSA	11247
OQ759724	ncbi-curated	ECSA	11140
OQ759725	ncbi-curated	ECSA	11173
OQ759726	ncbi-curated	ECSA	11130
OQ759727	ncbi-curated	ECSA	11215
OQ759728	ncbi-curated	ECSA	11120
OQ759729	ncbi-curated	ECSA	11176
OQ759730	ncbi-curated	ECSA	11162
OQ759731	ncbi-curated	ECSA	11180
OQ759732	ncbi-curated	ECSA	11231
OQ759733	ncbi-curated	ECSA	11116
OQ759734	ncbi-curated	ECSA	11108
OQ759735	ncbi-curated	ECSA	11126
OQ759736	ncbi-curated	ECSA	11183
OQ759737	ncbi-curated	ECSA	11140
OQ759738	ncbi-curated	ECSA	11125
OQ759739	ncbi-curated	ECSA	11180
OQ759740	ncbi-curated	ECSA	11112
OQ759741	ncbi-curated	ECSA	11110
OQ759742	ncbi-curated	ECSA	11145
OQ759743	ncbi-curated	ECSA	11062
OQ759744	ncbi-curated	ECSA	11123
OQ759745	ncbi-curated	ECSA	11178
OQ759746	ncbi-curated	ECSA	11134
OQ759747	ncbi-curated	ECSA	11076
OQ759748	ncbi-curated	ECSA	11118
OQ759749	ncbi-curated	ECSA	11119
OQ759750	ncbi-curated	ECSA	11066
OQ759751	ncbi-curated	ECSA	11070
OQ759752	ncbi-curated	ECSA	11103
OQ759753	ncbi-curated	ECSA	11089
OQ759754	ncbi-curated	ECSA	11139
OQ759755	ncbi-curated	ECSA	11068
OQ759756	ncbi-curated	ECSA	11116
OQ759757	ncbi-curated	ECSA	11050
OQ759758	ncbi-curated	ECSA	11160
OQ759759	ncbi-curated	ECSA	11148
OQ759760	ncbi-curated	ECSA	11167
OQ759761	ncbi-curated	ECSA	11135
OQ759762	ncbi-curated	ECSA	11149
OQ759763	ncbi-curated	ECSA	11204
OQ759764	ncbi-curated	ECSA	11178
OQ759765	ncbi-curated	ECSA	11171
OQ759766	ncbi-curated	ECSA	11120
OQ759767	ncbi-curated	ECSA	11159
OQ759768	ncbi-curated	ECSA	11142
OQ759769	ncbi-curated	ECSA	11234
OQ759770	ncbi-curated	ECSA	11163
OQ759771	ncbi-curated	ECSA	11152
OQ759772	ncbi-curated	ECSA	11161
OQ759773	ncbi-curated	ECSA	11096
OQ759774	ncbi-curated	ECSA	11199
OQ759775	ncbi-curated	ECSA	11105
OQ759776	ncbi-curated	ECSA	11169
OQ759777	ncbi-curated	ECSA	11178
OQ759778	ncbi-curated	ECSA	11126
OQ759779	ncbi-curated	ECSA	11156
OQ759780	ncbi-curated	ECSA	11200
OQ759781	ncbi-curated	ECSA	11120
OQ759782	ncbi-curated	ECSA	11174
OQ759783	ncbi-curated	ECSA	11227
OQ759784	ncbi-curated	ECSA	11131
OQ759785	ncbi-curated	ECSA	11188
OQ759786	ncbi-curated	ECSA	11172
OQ759787	ncbi-curated	ECSA	11109
OQ759788	ncbi-curated	ECSA	11160
OQ759789	ncbi-curated	ECSA	11128
OQ759790	ncbi-curated	ECSA	11244
OQ759791	ncbi-curated	ECSA	11116
OQ759792	ncbi-curated	ECSA	11144
OQ759793	ncbi-curated	ECSA	11126
OQ759794	ncbi-curated	ECSA	11142
OQ759795	ncbi-curated	ECSA	11126
OQ759796	ncbi-curated	ECSA	11153
OQ759797	ncbi-curated	ECSA	11099
OQ759798	ncbi-curated	ECSA	11137
OQ759799	ncbi-curated	ECSA	11095
OQ759800	ncbi-curated	ECSA	11096
OQ759801	ncbi-curated	ECSA	11101
OQ759802	ncbi-curated	ECSA	11113
OQ759803	ncbi-curated	ECSA	11094
OQ759804	ncbi-curated	ECSA	11080
OQ759805	ncbi-curated	ECSA	11095
OQ759806	ncbi-curated	ECSA	11085
OQ759807	ncbi-curated	ECSA	11145
OQ759808	ncbi-curated	ECSA	11077
OQ759809	ncbi-curated	ECSA	11128
OQ759810	ncbi-curated	ECSA	11086
OQ759811	ncbi-curated	ECSA	11102
OQ759812	ncbi-curated	ECSA	11057
OQ759813	ncbi-curated	ECSA	11128
OQ759814	ncbi-curated	ECSA	11048
OQ759815	ncbi-curated	ECSA	11105
OQ759816	ncbi-curated	ECSA	11122
OQ759817	ncbi-curated	ECSA	11129
OQ759818	ncbi-curated	ECSA	11092
OQ759819	ncbi-curated	ECSA	11125
OQ759820	ncbi-curated	ECSA	11113
OQ759821	ncbi-curated	ECSA	11121
OQ759822	ncbi-curated	ECSA	11112
OQ759823	ncbi-curated	ECSA	11083
OQ759824	ncbi-curated	ECSA	11217
OQ759825	ncbi-curated	ECSA	11123
OQ759826	ncbi-curated	ECSA	11092
OQ759827	ncbi-curated	ECSA	11133
OQ759828	ncbi-curated	ECSA	11127
OQ759829	ncbi-curated	ECSA	11136
OQ759830	ncbi-curated	ECSA	11119
OQ759831	ncbi-curated	ECSA	11095
OQ759832	ncbi-curated	ECSA	11089
OQ759833	ncbi-curated	ECSA	11079
OQ759834	ncbi-curated	ECSA	11130
OQ759835	ncbi-curated	ECSA	11176
OQ759836	ncbi-curated	ECSA	11177
OQ759837	ncbi-curated	ECSA	11224
OQ759838	ncbi-curated	ECSA	11177
OQ759839	ncbi-curated	ECSA	11175
OQ759840	ncbi-curated	ECSA	11071
OQ759841	ncbi-curated	ECSA	11177
OQ759842	ncbi-curated	ECSA	11127
OQ759843	ncbi-curated	ECSA	11158
OQ759844	ncbi-curated	ECSA	11149
OQ759845	ncbi-curated	ECSA	11125
OQ759846	ncbi-curated	ECSA	11145
OQ759847	ncbi-curated	ECSA	11117
OQ759848	ncbi-curated	ECSA	11130
OQ759849	ncbi-curated	ECSA	11119
OQ759850	ncbi-curated	ECSA	11106
OQ759851	ncbi-curated	ECSA	11124
OQ759852	ncbi-curated	ECSA	11175
OQ759853	ncbi-curated	ECSA	11159
OQ759854	ncbi-curated	ECSA	11157
OQ759855	ncbi-curated	ECSA	11118
OQ759856	ncbi-curated	ECSA	11154
OQ759857	ncbi-curated	ECSA	11093
OQ759858	ncbi-curated	ECSA	11097
OQ759859	ncbi-curated	ECSA	11100
OQ759860	ncbi-curated	ECSA	11125
OQ759861	ncbi-curated	ECSA	11104
OQ759862	ncbi-curated	ECSA	11108
OQ759863	ncbi-curated	ECSA	11152
OQ759864	ncbi-curated	ECSA	11104
OQ759865	ncbi-curated	ECSA	11130
OQ759866	ncbi-curated	ECSA	11143
OQ759867	ncbi-curated	ECSA	11079
OQ759868	ncbi-curated	ECSA	11175
OQ759869	ncbi-curated	ECSA	11139
OQ759870	ncbi-curated	ECSA	11130
OQ759871	ncbi-curated	ECSA	11109
OQ759872	ncbi-curated	ECSA	11096
OQ759873	ncbi-curated	ECSA	11154
OQ759874	ncbi-curated	ECSA	11088
OQ759875	ncbi-curated	ECSA	11141
OQ759876	ncbi-curated	ECSA	11107
OQ759877	ncbi-curated	ECSA	11098
OQ759878	ncbi-curated	ECSA	11099
OQ759879	ncbi-curated	ECSA	11221
OQ759880	ncbi-curated	ECSA	11092
OQ759881	ncbi-curated	ECSA	11129
OQ759882	ncbi-curated	ECSA	11158
OQ759883	ncbi-curated	ECSA	11171
OQ759884	ncbi-curated	ECSA	11145
OQ759885	ncbi-curated	ECSA	11184
OQ759886	ncbi-curated	ECSA	11114
OQ759887	ncbi-curated	ECSA	11205
OQ759888	ncbi-curated	ECSA	11129
OQ759889	ncbi-curated	ECSA	11143
OQ759890	ncbi-curated	ECSA	11162
OQ759891	ncbi-curated	ECSA	11157
OQ759892	ncbi-curated	ECSA	11119
OQ759893	ncbi-curated	ECSA	11207
OQ759894	ncbi-curated	ECSA	11117
OQ759895	ncbi-curated	ECSA	11121
OQ759896	ncbi-curated	ECSA	11282
OQ759897	ncbi-curated	ECSA	11097
OQ759898	ncbi-curated	ECSA	11173
OQ759899	ncbi-curated	ECSA	11084
OQ759900	ncbi-curated	ECSA	11134
OQ759901	ncbi-curated	ECSA	11135
OQ759902	ncbi-curated	ECSA	11227
OQ759903	ncbi-curated	ECSA	11138
OQ759904	ncbi-curated	ECSA	11176
OQ759905	ncbi-curated	ECSA	11099
OQ759906	ncbi-curated	ECSA	11210
OQ759907	ncbi-curated	ECSA	11102
OQ759908	ncbi-curated	ECSA	11125
OQ759909	ncbi-curated	ECSA	11149
OQ759910	ncbi-curated	ECSA	11228
OQ759911	ncbi-curated	ECSA	11099
OQ759912	ncbi-curated	ECSA	11120
OQ759913	ncbi-curated	ECSA	11116
OQ759914	ncbi-curated	ECSA	11146
OQ759915	ncbi-curated	ECSA	11133
OQ759916	ncbi-curated	ECSA	11132
OQ759917	ncbi-curated	ECSA	11166
OQ759918	ncbi-curated	ECSA	11102
OQ759919	ncbi-curated	ECSA	11154
OQ759920	ncbi-curated	ECSA	11145
OQ759921	ncbi-curated	ECSA	11228
OQ759922	ncbi-curated	ECSA	11147
OQ759923	ncbi-curated	ECSA	11153
OQ759924	ncbi-curated	ECSA	11163
OQ759925	ncbi-curated	ECSA	11122
OQ759926	ncbi-curated	ECSA	11151
OQ759927	ncbi-curated	ECSA	11105
OQ759928	ncbi-curated	ECSA	11142
OQ759929	ncbi-curated	ECSA	11159
OQ759930	ncbi-curated	ECSA	11112
OQ759931	ncbi-curated	ECSA	11163
OQ759932	ncbi-curated	ECSA	11190
OQ759933	ncbi-curated	ECSA	11158
OQ759934	ncbi-curated	ECSA	11138
OQ759935	ncbi-curated	ECSA	11112
OQ759936	ncbi-curated	ECSA	11136
OQ759937	ncbi-curated	ECSA	11068
OQ759938	ncbi-curated	ECSA	11126
OQ759939	ncbi-curated	ECSA	11108
OQ759940	ncbi-curated	ECSA	11109
OQ759941	ncbi-curated	ECSA	11190
OQ759942	ncbi-curated	ECSA	11115
OQ759943	ncbi-curated	ECSA	11097
OQ759944	ncbi-curated	ECSA	11086
OQ759945	ncbi-curated	ECSA	11163
OQ759946	ncbi-curated	ECSA	11203
OQ759947	ncbi-curated	ECSA	11086
OQ759948	ncbi-curated	ECSA	11176
OQ759949	ncbi-curated	ECSA	11142
OQ759950	ncbi-curated	ECSA	11093
OQ759951	ncbi-curated	ECSA	11119
OQ759952	ncbi-curated	ECSA	11172
OQ759953	ncbi-curated	ECSA	11141
OQ759954	ncbi-curated	ECSA	11076
OQ759955	ncbi-curated	ECSA	11098
OQ759956	ncbi-curated	ECSA	11075
OQ759957	ncbi-curated	ECSA	11097
OQ759958	ncbi-curated	ECSA	11099
OQ759959	ncbi-curated	ECSA	11087
OQ759960	ncbi-curated	ECSA	11087
OQ759961	ncbi-curated	ECSA	11128
OQ759962	ncbi-curated	ECSA	11140
OQ759963	ncbi-curated	ECSA	11104
OQ759964	ncbi-curated	ECSA	11126
OQ759965	ncbi-curated	ECSA	11383
OQ759966	ncbi-curated	ECSA	11146
OQ759967	ncbi-curated	ECSA	11090
OQ759968	ncbi-curated	ECSA	11148
OQ759969	ncbi-curated	ECSA	11113
OQ759970	ncbi-curated	ECSA	11102
OQ759971	ncbi-curated	ECSA	11106
OQ759972	ncbi-curated	ECSA	11133
OQ759973	ncbi-curated	ECSA	11095
OQ759974	ncbi-curated	ECSA	11161
OQ759975	ncbi-curated	ECSA	11154
OQ759976	ncbi-curated	ECSA	11114
OQ759977	ncbi-curated	ECSA	11164
OQ759978	ncbi-curated	ECSA	11092
OQ759979	ncbi-curated	ECSA	11091
OQ759980	ncbi-curated	ECSA	11093
OQ759981	ncbi-curated	ECSA	11108
OQ759982	ncbi-curated	ECSA	11135
OQ759983	ncbi-curated	ECSA	11071
OQ759984	ncbi-curated	ECSA	11068
OQ759985	ncbi-curated	ECSA	11117
OQ759986	ncbi-curated	ECSA	11109
OQ759987	ncbi-curated	ECSA	11089
OQ759988	ncbi-curated	ECSA	11118
OQ759989	ncbi-curated	ECSA	11123
OQ759990	ncbi-curated	ECSA	11162
OQ759991	ncbi-curated	ECSA	11162
OQ759992	ncbi-curated	ECSA	11164
OQ759993	ncbi-curated	ECSA	11183
OQ759994	ncbi-curated	ECSA	11168
OQ759995	ncbi-curated	ECSA	11254
OQ759996	ncbi-curated	ECSA	11134
OQ759997	ncbi-curated	ECSA	11151
OQ759998	ncbi-curated	ECSA	11115
OQ759999	ncbi-curated	ECSA	11176
OQ760000	ncbi-curated	ECSA	11189
OQ760001	ncbi-curated	ECSA	11200
OQ760002	ncbi-curated	ECSA	11125
OQ760003	ncbi-curated	ECSA	11135
OQ760004	ncbi-curated	ECSA	11276
OQ760005	ncbi-curated	ECSA	11188
OQ760006	ncbi-curated	ECSA	11193
OQ760007	ncbi-curated	ECSA	11132
OQ760008	ncbi-curated	ECSA	11120
OQ760009	ncbi-curated	ECSA	11166
OQ760010	ncbi-curated	ECSA	11236
OQ760011	ncbi-curated	ECSA	11146
OQ760012	ncbi-curated	ECSA	11165
OQ760013	ncbi-curated	ECSA	11152
OQ760014	ncbi-curated	ECSA	11179
OQ760015	ncbi-curated	ECSA	11119
OQ760016	ncbi-curated	ECSA	11132
OQ760017	ncbi-curated	ECSA	11171
OQ760018	ncbi-curated	ECSA	11119
OQ760019	ncbi-curated	ECSA	11154
OQ760020	ncbi-curated	ECSA	11117
OQ760021	ncbi-curated	ECSA	11135
OQ760022	ncbi-curated	ECSA	11133
OQ760023	ncbi-curated	ECSA	11132
OQ760024	ncbi-curated	ECSA	11177
OQ760025	ncbi-curated	ECSA	11194
OQ760026	ncbi-curated	ECSA	11182
OQ760027	ncbi-curated	ECSA	11151
OQ760028	ncbi-curated	ECSA	11168
OQ760029	ncbi-curated	ECSA	11156
OQ760030	ncbi-curated	ECSA	11215
OQ760031	ncbi-curated	ECSA	11103
OQ760032	ncbi-curated	ECSA	11116
OQ760033	ncbi-curated	ECSA	11116
OQ760034	ncbi-curated	ECSA	11140
OQ760035	ncbi-curated	ECSA	11151
OQ760036	ncbi-curated	ECSA	11146
OQ760037	ncbi-curated	ECSA	11185
OQ760038	ncbi-curated	ECSA	11177
OQ760039	ncbi-curated	ECSA	11235
OQ760040	ncbi-curated	ECSA	11128
OQ760041	ncbi-curated	ECSA	11112
OQ760042	ncbi-curated	ECSA	11215
OQ760043	ncbi-curated	ECSA	11156
OQ760044	ncbi-curated	ECSA	11126
OQ760045	ncbi-curated	ECSA	11183
OQ760046	ncbi-curated	ECSA	11106
OQ760047	ncbi-curated	ECSA	11296
OQ760048	ncbi-curated	ECSA	11144
OQ760049	ncbi-curated	ECSA	11121
OQ760050	ncbi-curated	ECSA	11189
OQ760051	ncbi-curated	ECSA	11230
OQ760052	ncbi-curated	ECSA	11127
OQ760053	ncbi-curated	ECSA	11215
OQ760054	ncbi-curated	ECSA	11182
OQ760055	ncbi-curated	ECSA	11112
OQ760056	ncbi-curated	ECSA	11121
OQ760057	ncbi-curated	ECSA	11290
OQ760058	ncbi-curated	ECSA	11132
OQ760059	ncbi-curated	ECSA	11105
OQ760060	ncbi-curated	ECSA	11170
OQ760061	ncbi-curated	ECSA	11136
OQ760062	ncbi-curated	ECSA	11216
OQ760063	ncbi-curated	ECSA	11123
OQ760064	ncbi-curated	ECSA	11162
OQ760065	ncbi-curated	ECSA	11141
OQ760066	ncbi-curated	ECSA	11124
OQ760067	ncbi-curated	ECSA	11118
OQ760068	ncbi-curated	ECSA	11129
OQ760069	ncbi-curated	ECSA	11127
OQ760070	ncbi-curated	ECSA	11156
OQ760071	ncbi-curated	ECSA	11128
OQ760072	ncbi-curated	ECSA	11113
OQ760073	ncbi-curated	ECSA	11117
OQ760074	ncbi-curated	ECSA	11123
OQ760075	ncbi-curated	ECSA	11102
OQ760076	ncbi-curated	ECSA	11108
OQ775394	ncbi-curated	ECSA	11365
OQ775395	ncbi-curated	ECSA	11133
OQ775396	ncbi-curated	ECSA	11122
OQ775397	ncbi-curated	ECSA	11436
OQ775398	ncbi-curated	ECSA	11184
OQ775399	ncbi-curated	ECSA	11127
OQ775400	ncbi-curated	ECSA	11121
OQ775401	ncbi-curated	ECSA	11249
OQ775402	ncbi-curated	ECSA	11123
OQ775403	ncbi-curated	ECSA	11422
OQ775404	ncbi-curated	ECSA	11452
OQ775405	ncbi-curated	ECSA	11131
OQ775406	ncbi-curated	ECSA	11115
OQ775407	ncbi-curated	ECSA	11398
OQ775408	ncbi-curated	ECSA	11414
OQ775409	ncbi-curated	ECSA	11130
OQ775410	ncbi-curated	ECSA	11141
OQ775411	ncbi-curated	ECSA	11454
OQ775412	ncbi-curated	ECSA	11436
OQ775413	ncbi-curated	ECSA	11394
OQ775414	ncbi-curated	ECSA	11173
OQ775415	ncbi-curated	ECSA	11191
OQ775416	ncbi-curated	ECSA	11398
OQ775417	ncbi-curated	ECSA	11430
OQ775418	ncbi-curated	ECSA	11402
OQ775419	ncbi-curated	ECSA	11120
OQ775420	ncbi-curated	ECSA	11132
OQ775421	ncbi-curated	ECSA	11520
OQ775422	ncbi-curated	ECSA	11411
OQ775423	ncbi-curated	ECSA	11448
OQ775424	ncbi-curated	ECSA	11421
OQ775425	ncbi-curated	ECSA	11129
OQ775426	ncbi-curated	ECSA	11347
OQ775427	ncbi-curated	ECSA	11148
OQ775428	ncbi-curated	ECSA	11174
OQ775429	ncbi-curated	ECSA	11165
OQ775430	ncbi-curated	ECSA	11418
OQ775431	ncbi-curated	ECSA	10704
OQ775432	ncbi-curated	ECSA	11230
OQ775433	ncbi-curated	ECSA	10866
OQ775434	ncbi-curated	ECSA	11412
OQ775435	ncbi-curated	ECSA	11133
OQ775436	ncbi-curated	ECSA	11116
OQ775437	ncbi-curated	ECSA	11112
OQ775438	ncbi-curated	ECSA	11164
OQ775439	ncbi-curated	ECSA	11149
OQ775440	ncbi-curated	ECSA	11172
OQ775441	ncbi-curated	ECSA	11126
OQ775442	ncbi-curated	ECSA	11137
OQ775443	ncbi-curated	ECSA	11209
OQ775444	ncbi-curated	ECSA	11148
OQ775445	ncbi-curated	ECSA	10705
OQ775446	ncbi-curated	ECSA	11132
OQ775447	ncbi-curated	ECSA	10619
OQ775448	ncbi-curated	ECSA	11167
OQ775449	ncbi-curated	ECSA	11147
OQ775450	ncbi-curated	ECSA	10669
OQ775451	ncbi-curated	ECSA	11127
OQ775452	ncbi-curated	ECSA	11171
OQ775453	ncbi-curated	ECSA	11275
OQ775454	ncbi-curated	ECSA	10703
OQ775455	ncbi-curated	ECSA	11156
OQ775456	ncbi-curated	ECSA	11137
OQ775457	ncbi-curated	ECSA	11127
OQ775458	ncbi-curated	ECSA	11146
OQ775459	ncbi-curated	ECSA	11147
OQ775460	ncbi-curated	ECSA	11125
OQ775461	ncbi-curated	ECSA	11150
OQ775462	ncbi-curated	ECSA	11167
OQ775463	ncbi-curated	ECSA	11184
OQ775464	ncbi-curated	ECSA	11140
OQ775465	ncbi-curated	ECSA	11166
OQ775466	ncbi-curated	ECSA	10706
OQ775467	ncbi-curated	ECSA	11120
OQ775468	ncbi-curated	ECSA	11110
OQ775469	ncbi-curated	ECSA	11182
OQ775470	ncbi-curated	ECSA	11153
OQ775471	ncbi-curated	ECSA	11121
OQ775472	ncbi-curated	ECSA	11211
OQ775473	ncbi-curated	ECSA	11134
OQ775474	ncbi-curated	ECSA	11121
OQ775475	ncbi-curated	ECSA	10650
OQ775476	ncbi-curated	ECSA	10705
OQ775477	ncbi-curated	ECSA	10704
OQ775478	ncbi-curated	ECSA	11174
OQ775479	ncbi-curated	ECSA	11099
OQ775480	ncbi-curated	ECSA	9188
OQ775481	ncbi-curated	ECSA	10708
OQ775482	ncbi-curated	ECSA	10651
OQ775483	ncbi-curated	ECSA	11154
OQ775484	ncbi-curated	ECSA	10629
OQ775485	ncbi-curated	ECSA	11249
OQ775486	ncbi-curated	ECSA	11163
OQ775487	ncbi-curated	ECSA	11112
OQ775488	ncbi-curated	ECSA	11121
OQ775489	ncbi-curated	ECSA	11162
OQ775490	ncbi-curated	ECSA	11157
OQ775491	ncbi-curated	ECSA	11157
OQ775492	ncbi-curated	ECSA	11164
OQ775493	ncbi-curated	ECSA	11154
OQ775494	ncbi-curated	ECSA	11156
OQ775495	ncbi-curated	ECSA	11147
OQ775496	ncbi-curated	ECSA	11159
OQ775497	ncbi-curated	ECSA	11128
OQ775498	ncbi-curated	ECSA	11162
OQ775499	ncbi-curated	ECSA	11151
OQ775500	ncbi-curated	ECSA	9399
OQ775501	ncbi-curated	ECSA	11140
OQ775502	ncbi-curated	ECSA	10972
OQ775503	ncbi-curated	ECSA	11140
OQ775504	ncbi-curated	ECSA	11145
OQ775505	ncbi-curated	ECSA	11237
OQ775506	ncbi-curated	ECSA	11161
OQ775507	ncbi-curated	ECSA	11130
OQ775508	ncbi-curated	ECSA	11157
OQ775509	ncbi-curated	ECSA	11139
OQ775510	ncbi-curated	ECSA	11160
OQ775511	ncbi-curated	ECSA	11159
OQ775512	ncbi-curated	ECSA	11139
OQ775513	ncbi-curated	ECSA	11159
OQ775514	ncbi-curated	ECSA	10883
OQ775515	ncbi-curated	ECSA	11143
OQ775516	ncbi-curated	ECSA	11136
OQ775517	ncbi-curated	ECSA	11167
OQ775518	ncbi-curated	ECSA	11167
OQ775519	ncbi-curated	ECSA	10970
OQ775520	ncbi-curated	ECSA	11152
OQ775521	ncbi-curated	ECSA	11128
OQ775522	ncbi-curated	ECSA	11165
OQ775523	ncbi-curated	ECSA	11127
OQ775524	ncbi-curated	ECSA	10437
OQ775525	ncbi-curated	ECSA	10691
OQ775526	ncbi-curated	ECSA	10723
OQ775527	ncbi-curated	ECSA	10712
OQ775528	ncbi-curated	ECSA	10981
OQ775529	ncbi-curated	ECSA	11123
OQ775530	ncbi-curated	ECSA	11162
OQ775531	ncbi-curated	ECSA	11202
OQ775532	ncbi-curated	ECSA	11141
OQ775533	ncbi-curated	ECSA	11154
OQ775534	ncbi-curated	ECSA	11139
OQ775535	ncbi-curated	ECSA	10712
OQ775536	ncbi-curated	ECSA	9126
OQ775537	ncbi-curated	ECSA	11136
OQ775538	ncbi-curated	ECSA	11159
OQ775539	ncbi-curated	ECSA	11184
OQ775540	ncbi-curated	ECSA	11105
OQ775541	ncbi-curated	ECSA	10730
OQ775542	ncbi-curated	ECSA	11103
OQ775543	ncbi-curated	ECSA	10724
OQ775544	ncbi-curated	ECSA	11161
OQ775545	ncbi-curated	ECSA	11276
OQ775546	ncbi-curated	ECSA	10737
OQ775547	ncbi-curated	ECSA	10727
OQ775548	ncbi-curated	ECSA	11156
OQ775549	ncbi-curated	ECSA	11151
OQ775550	ncbi-curated	ECSA	9199
OQ775551	ncbi-curated	ECSA	11170
OQ775552	ncbi-curated	ECSA	11125
OQ775553	ncbi-curated	ECSA	11155
OQ775554	ncbi-curated	ECSA	11131
OQ775555	ncbi-curated	ECSA	11137
OQ775556	ncbi-curated	ECSA	11129
OQ775557	ncbi-curated	ECSA	11137
OQ775558	ncbi-curated	ECSA	11119
OQ775559	ncbi-curated	ECSA	11123
OQ775560	ncbi-curated	ECSA	11145
OQ775561	ncbi-curated	ECSA	11164
OQ775562	ncbi-curated	ECSA	11114
OQ775563	ncbi-curated	ECSA	11164
OQ775564	ncbi-curated	ECSA	11164
OQ775565	ncbi-curated	ECSA	11204
OQ775566	ncbi-curated	ECSA	11162
OQ775567	ncbi-curated	ECSA	11084
OQ865295	ncbi-curated	ECSA	11177
OQ865296	ncbi-curated	ECSA	11176
OQ865297	ncbi-curated	ECSA	11166
OQ865298	ncbi-curated	ECSA	11173
OQ865299	ncbi-curated	ECSA	11165
OQ865300	ncbi-curated	ECSA	11175
OQ865301	ncbi-curated	ECSA	11163
OQ865302	ncbi-curated	ECSA	10688
OQ865303	ncbi-curated	ECSA	11164
OQ865304	ncbi-curated	ECSA	11166
OQ865305	ncbi-curated	ECSA	11170
OQ865306	ncbi-curated	ECSA	11178
OQ865307	ncbi-curated	ECSA	11175
OQ865308	ncbi-curated	ECSA	11164
OQ865309	ncbi-curated	ECSA	11166
OQ865310	ncbi-curated	ECSA	11169
OQ865311	ncbi-curated	ECSA	11174
OQ865312	ncbi-curated	ECSA	11170
OQ865313	ncbi-curated	ECSA	11166
OQ865314	ncbi-curated	ECSA	11159
OQ865315	ncbi-curated	ECSA	11169
OQ865316	ncbi-curated	ECSA	11184
OQ865317	ncbi-curated	ECSA	11166
OQ865318	ncbi-curated	ECSA	11189
OQ865319	ncbi-curated	ECSA	11172
OQ865320	ncbi-curated	ECSA	11173
OQ865321	ncbi-curated	ECSA	11180
OQ865322	ncbi-curated	ECSA	11175
OQ865323	ncbi-curated	ECSA	11183
OQ865324	ncbi-curated	ECSA	11173
OQ918703	ncbi-curated	AL_CHIKV_ECSA	11812
OR037305	ncbi-curated	ECSA	11756
OR037306	ncbi-curated	ECSA	11730
OR037307	ncbi-curated	ECSA	11814
OR037308	ncbi-curated	ECSA	11816
OR037309	ncbi-curated	ECSA	11814
OR063978	ncbi-curated	ECSA	11513
OR063979	ncbi-curated	ECSA	11478
OR063980	ncbi-curated	ECSA	11461
OR063981	ncbi-curated	ECSA	11429
OR063982	ncbi-curated	ECSA	11513
OR063983	ncbi-curated	ECSA	11513
OR063984	ncbi-curated	ECSA	11456
OR063985	ncbi-curated	ECSA	11450
OR063986	ncbi-curated	ECSA	11513
OR063987	ncbi-curated	ECSA	11237
OR063988	ncbi-curated	ECSA	11237
OR063989	ncbi-curated	ECSA	11247
OR063990	ncbi-curated	ECSA	11508
OR063991	ncbi-curated	ECSA	11247
OR063992	ncbi-curated	ECSA	11513
OR063993	ncbi-curated	ECSA	11513
OR063994	ncbi-curated	ECSA	11376
OR063995	ncbi-curated	ECSA	11438
OR063996	ncbi-curated	ECSA	11549
OR063997	ncbi-curated	ECSA	11248
OR063998	ncbi-curated	ECSA	11513
OR063999	ncbi-curated	ECSA	11479
OR064000	ncbi-curated	ECSA	11312
OR064001	ncbi-curated	ECSA	11396
OR064002	ncbi-curated	ECSA	11394
OR064003	ncbi-curated	ECSA	11461
OR064004	ncbi-curated	ECSA	11615
OR064005	ncbi-curated	ECSA	11433
