taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703891	KY703891	Asian	CHIKV/Homo sapiens/NIC/11006-15/2015	Nicaragua: Rivas	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703892	KY703892	Asian	CHIKV/Homo sapiens/NIC/1988.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703893	KY703893	Asian	CHIKV/Homo sapiens/NIC/1908.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703894	KY703894	Asian	CHIKV/Homo sapiens/NIC/6446.1LA1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703896	KY703896	Asian	CHIKV/Homo sapiens/NIC/1816.1E/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703897	KY703897	Asian	CHIKV/Homo sapiens/NIC/1825.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703898	KY703898	Asian	CHIKV/Homo sapiens/NIC/1897.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703899	KY703899	Asian	CHIKV/Homo sapiens/NIC/12438-15/2015	Nicaragua: Nuevo Segovia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703900	KY703900	Asian	CHIKV/Homo sapiens/NIC/1993.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703901	KY703901	Asian	CHIKV/Homo sapiens/NIC/1838.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703902	KY703902	Asian	CHIKV/Homo sapiens/NIC/CKVGH11/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703903	KY703903	Asian	CHIKV/Homo sapiens/NIC/1912.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703904	KY703904	Asian	CHIKV/Homo sapiens/NIC/5823.11A1/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703905	KY703905	Asian	CHIKV/Homo sapiens/NIC/1920.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703906	KY703906	Asian	CHIKV/Homo sapiens/NIC/1914.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703907	KY703907	Asian	CHIKV/Homo sapiens/NIC/996.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703909	KY703909	Asian	CHIKV/Homo sapiens/NIC/1842.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703910	KY703910	Asian	CHIKV/Homo sapiens/NIC/12062-15/2015	Nicaragua: Nuevo Segovia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703911	KY703911	Asian	CHIKV/Homo sapiens/NIC/1167.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703912	KY703912	Asian	CHIKV/Homo sapiens/NIC/15388-15/2015	Nicaragua: Carazo	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703913	KY703913	Asian	CHIKV/Homo sapiens/NIC/1878.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703914	KY703914	Asian	CHIKV/Homo sapiens/NIC/1886.1D/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703915	KY703915	Asian	CHIKV/Homo sapiens/NIC/1857.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703916	KY703916	Asian	CHIKV/Homo sapiens/NIC/6556.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703917	KY703917	Asian	CHIKV/Homo sapiens/NIC/14-16/2015	Nicaragua: Esteli	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703918	KY703918	Asian	CHIKV/Homo sapiens/NIC/1839.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703919	KY703919	Asian	CHIKV/Homo sapiens/NIC/1844.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703920	KY703920	Asian	CHIKV/Homo sapiens/NIC/13491-15/2015	Nicaragua: Granada	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703921	KY703921	Asian	CHIKV/Homo sapiens/NIC/1967.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703922	KY703922	Asian	CHIKV/Homo sapiens/NIC/7074.12A1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703923	KY703923	Asian	CHIKV/Homo sapiens/NIC/1925.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703924	KY703924	Asian	CHIKV/Homo sapiens/NIC/1879.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703925	KY703925	Asian	CHIKV/Homo sapiens/NIC/5201.12A1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703926	KY703926	Asian	CHIKV/Homo sapiens/NIC/1891.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703928	KY703928	Asian	CHIKV/Homo sapiens/NIC/1847.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703929	KY703929	Asian	CHIKV/Homo sapiens/NIC/14735-15/2015	Nicaragua: Boaco	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703930	KY703930	Asian	CHIKV/Homo sapiens/NIC/4912.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703931	KY703931	Asian	CHIKV/Homo sapiens/NIC/1924.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703932	KY703932	Asian	CHIKV/Homo sapiens/NIC/1890.1D/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703933	KY703933	Asian	CHIKV/Homo sapiens/NIC/8476.1LA1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703934	KY703934	Asian	CHIKV/Homo sapiens/NIC/8065.1LA1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703935	KY703935	Asian	CHIKV/Homo sapiens/NIC/4900.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703936	KY703936	Asian	CHIKV/Homo sapiens/NIC/1497.1LA1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703937	KY703937	Asian	CHIKV/Homo sapiens/NIC/1956.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703938	KY703938	Asian	CHIKV/Homo sapiens/NIC/1852.1D/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703939	KY703939	Asian	CHIKV/Homo sapiens/NIC/14577-15/2015	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703940	KY703940	Asian	CHIKV/Homo sapiens/NIC/1756.1C/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703941	KY703941	Asian	CHIKV/Homo sapiens/NIC/12687-15/2015	Nicaragua: Carazo	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703942	KY703942	Asian	CHIKV/Homo sapiens/NIC/86.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703943	KY703943	Asian	CHIKV/Homo sapiens/NIC/1948.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703944	KY703944	Asian	CHIKV/Homo sapiens/NIC/1938.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703945	KY703945	Asian	CHIKV/Homo sapiens/NIC/1937.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703947	KY703947	Asian	CHIKV/Homo sapiens/NIC/1778.1C/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703948	KY703948	Asian	CHIKV/Homo sapiens/NIC/1889.1D/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703949	KY703949	Asian	CHIKV/Homo sapiens/NIC/1824.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703950	KY703950	Asian	CHIKV/Homo sapiens/NIC/1790.1C/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703951	KY703951	Asian	CHIKV/Homo sapiens/NIC/5883.12A1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703953	KY703953	Asian	CHIKV/Homo sapiens/NIC/3116.1LA1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703954	KY703954	Asian	CHIKV/Homo sapiens/NIC/1758.1C/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703956	KY703956	Asian	CHIKV/Homo sapiens/NIC/7172.11A1/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703957	KY703957	Asian	CHIKV/Homo sapiens/NIC/7555.12A1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703958	KY703958	Asian	CHIKV/Homo sapiens/NIC/1985.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703959	KY703959	Asian	CHIKV/Homo sapiens/NIC/1800.1D/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703961	KY703961	Asian	CHIKV/Homo sapiens/NIC/7101.12.A./2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703962	KY703962	Asian	CHIKV/Homo sapiens/NIC/11630-15/2015	Nicaragua: Nuevo Segovia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703963	KY703963	Asian	CHIKV/Homo sapiens/NIC/1913.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703965	KY703965	Asian	CHIKV/Homo sapiens/NIC/1909.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703966	KY703966	Asian	CHIKV/Homo sapiens/NIC/4036.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703968	KY703968	Asian	CHIKV/Homo sapiens/NIC/1837.1D/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703971	KY703971	Asian	CHIKV/Homo sapiens/NIC/14906-15/2015	Nicaragua: Carazo	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703972	KY703972	Asian	CHIKV/Homo sapiens/NIC/1805.1E/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703973	KY703973	Asian	CHIKV/Homo sapiens/NIC/6523.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703974	KY703974	Asian	CHIKV/Homo sapiens/NIC/1910.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703975	KY703975	Asian	CHIKV/Homo sapiens/NIC/11091-15/2015	Nicaragua: Masaya	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703976	KY703976	Asian	CHIKV/Homo sapiens/NIC/6450.12A1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703977	KY703977	Asian	CHIKV/Homo sapiens/NIC/1835.12A1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703979	KY703979	Asian	CHIKV/Homo sapiens/NIC/11093-15/2015	Nicaragua: Matagalpa	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703980	KY703980	Asian	CHIKV/Homo sapiens/NIC/6638.12A1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703982	KY703982	Asian	CHIKV/Homo sapiens/NIC/4040.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703983	KY703983	Asian	CHIKV/Homo sapiens/NIC/1809.1E/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703984	KY703984	Asian	CHIKV/Homo sapiens/NIC/1794.1C/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703987	KY703987	Asian	CHIKV/Homo sapiens/NIC/1367.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703988	KY703988	Asian	CHIKV/Homo sapiens/NIC/1793.1D/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703989	KY703989	Asian	CHIKV/Homo sapiens/NIC/1802.1D/2014	Nicaragua: Managua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703991	KY703991	Asian	CHIKV/Homo sapiens/NIC/24044.1LA1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703992	KY703992	Asian	CHIKV/Homo sapiens/NIC/5695.12A1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703995	KY703995	Asian	CHIKV/Homo sapiens/NIC/1882.1D/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703996	KY703996	Asian	CHIKV/Homo sapiens/NIC/5024.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703997	KY703997	Asian	CHIKV/Homo sapiens/NIC/4354.12.A.1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703998	KY703998	Asian	CHIKV/Homo sapiens/NIC/7156.12A1/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703999	KY703999	Asian	CHIKV/Homo sapiens/NIC/1828.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY704001	KY704001	Asian	CHIKV/Homo sapiens/NIC/1829.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY704002	KY704002	Asian	CHIKV/Homo sapiens/NIC/1823.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY883764	KY883764	Asian	-	Singapore	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/LC259083	LC259083	Asian	-	Indonesia	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated/LC259084	LC259084	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/LC259085	LC259085	Asian	-	Indonesia	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/LC259087	LC259087	Asian	-	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/LC259091	LC259091	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/LC411941	LC411941	Asian	Aruba	Aruba	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MF001507	MF001507	Asian	-	USA	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MF001508	MF001508	Asian	-	USA	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MF001510	MF001510	Asian	-	USA	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MF001512	MF001512	Asian	-	USA	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MF001513	MF001513	Asian	-	USA	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MG664851	MG664851	Asian	SZ1239	China	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/MG822707	MG822707	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/MG822708	MG822708	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MH329293	MH329293	Asian	Car-61	Colombia: Cartagena	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MH329294	MH329294	Asian	OV-26	Colombia: Ovejas	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MH329295	MH329295	Asian	P1	Colombia: Planeta Rica	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MH329296	MH329296	Asian	M6	Colombia: Mahates Bolivar	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MH329303	MH329303	Asian	Car-4	Colombia: Cartagena, Bolivar	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MH647183	MH647183	Asian	-	Singapore	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/MH647185	MH647185	Asian	-	Singapore	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/MH647193	MH647193	Asian	-	Singapore	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/MH670649	MH670649	Asian	-	China	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated/MK028840	MK028840	Asian	-	Thailand	1962
alignment/AL_CHIKV_Asian/member/ncbi-curated/MK134712	MK134712	Asian	-	Brazil: Roraima, Boa Vista	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MK134713	MK134713	Asian	-	Brazil: Roraima	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462638	MN462638	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462639	MN462639	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462640	MN462640	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462641	MN462641	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462642	MN462642	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462643	MN462643	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462644	MN462644	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462645	MN462645	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462646	MN462646	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462647	MN462647	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462648	MN462648	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462649	MN462649	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462650	MN462650	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462651	MN462651	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462652	MN462652	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462653	MN462653	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462654	MN462654	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462655	MN462655	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462656	MN462656	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462657	MN462657	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462658	MN462658	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462659	MN462659	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462660	MN462660	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462661	MN462661	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MN462662	MN462662	Asian	-	Ecuador	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038393	MT038393	Asian	PY02	Paraguay: Yaguaron	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038394	MT038394	Asian	PY07	Paraguay: Yaguaron	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038395	MT038395	Asian	PY06	Paraguay: Yaguaron	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038396	MT038396	Asian	PY08	Paraguay: Yaguaron	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038397	MT038397	Asian	PY03	Paraguay: Yaguaron	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038398	MT038398	Asian	PY09	Paraguay: Yaguaron	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038404	MT038404	Asian	PY44	Paraguay: Luque	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038405	MT038405	Asian	PY45	Paraguay: Pedro Juan Caballero	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038406	MT038406	Asian	PY47	Paraguay: Guarambare	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038407	MT038407	Asian	PY48	Paraguay: Fernando de la Mora	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038408	MT038408	Asian	PY49	Paraguay: Fernando de la Mora	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT038409	MT038409	Asian	PY50	Paraguay: Fernando de la Mora	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT150092	MT150092	Asian	Bol1	Bolivia: Santa Cruz de la Sierra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT150093	MT150093	Asian	Bol2	Bolivia: Santa Cruz de la Sierra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT150094	MT150094	Asian	Bol3	Bolivia: Santa Cruz de la Sierra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT150095	MT150095	Asian	Bol4	Bolivia: Cochabamba	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT150096	MT150096	Asian	Bol5	Bolivia: Santa Cruz de la Sierra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT150097	MT150097	Asian	Bol6	Bolivia: Santa Cruz de la Sierra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT150098	MT150098	Asian	Bol7	Bolivia: Santa Cruz de la Sierra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT150099	MT150099	Asian	Bol8	Bolivia: Santa Cruz de la Sierra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT150100	MT150100	Asian	Bol9	Bolivia: Beni, Trinidad	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT228633	MT228633	Asian	-	Saint Martin	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591083	MT591083	Asian	-	Indonesia: Tomohon, Sulawesi	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591084	MT591084	Asian	-	Indonesia: Tomohon, Sulawesi	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591085	MT591085	Asian	-	Indonesia: Tomohon, Sulawesi	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591086	MT591086	Asian	-	Indonesia: Buleleng, Bali	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591087	MT591087	Asian	-	Indonesia: Buleleng, Bali	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591088	MT591088	Asian	-	Indonesia: Buleleng, Bali	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591089	MT591089	Asian	-	Indonesia: Buleleng, Bali	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591090	MT591090	Asian	-	Indonesia: Tabanan, Bali	2017
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591091	MT591091	Asian	-	Indonesia: Tabanan, Bali	2017
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591092	MT591092	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591093	MT591093	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591094	MT591094	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591095	MT591095	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591096	MT591096	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591097	MT591097	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591098	MT591098	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591099	MT591099	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591100	MT591100	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591101	MT591101	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591102	MT591102	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591103	MT591103	Asian	-	Indonesia: Jambi, Sumatra	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591104	MT591104	Asian	-	Indonesia: Tabanan, Bali	2017
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591105	MT591105	Asian	-	Indonesia: Tabanan, Bali	2018
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591106	MT591106	Asian	-	Indonesia: Tabanan, Bali	2018
alignment/AL_CHIKV_Asian/member/ncbi-curated/MT591107	MT591107	Asian	-	Indonesia: Ambon, Maluku	2018
alignment/AL_CHIKV_Asian/member/ncbi-curated/MW473668	MW473668	Asian	181/25	USA	2018
alignment/AL_CHIKV_Asian/member/ncbi-curated/OK655882	OK655882	Asian	-	Indonesia: Jambi	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/OK655883	OK655883	Asian	-	Indonesia: Jambi	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/OK655884	OK655884	Asian	-	Indonesia: Jambi	2016
alignment/AL_CHIKV_Asian/member/ncbi-curated/OL343608	OL343608	Asian	-	Brazil: Laranjal do Jari-AP	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/OL343609	OL343609	Asian	-	Brazil: Macapa-AP	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/OL343610	OL343610	Asian	-	Brazil: Macapa-AP	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/OL343611	OL343611	Asian	-	Brazil: Macapa-AP	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/OL343613	OL343613	Asian	-	Brazil: Macapa-AP	2015
